donor,recipient,amount
United States,India,16529832819
United States,Thailand,6495636611
United States,Brazil,13548341140
United States,Colombia,17104240812
United States,Korea,11154361995
United States,Poland,2508547257
United States,South Africa,6678780430
United States,Kuwait,7727422143
United States,Chile,3690681030
United States,Saudi Arabia,4440013519
Japan,India,48830067295
Japan,Thailand,35437690727
Japan,Brazil,10406029105
Japan,Colombia,1414487282
Japan,Korea,13029452754
Japan,Poland,116688443
Japan,South Africa,1176312073
Japan,Kuwait,4397148
Japan,Chile,703444054
Japan,Saudi Arabia,373261027
Germany,India,18017983208
Germany,Thailand,1702275036
Germany,Brazil,4063216247
Germany,Colombia,1238911524
Germany,Korea,691327750
Germany,Poland,17230746024
Germany,South Africa,1784147995
Germany,Kuwait,5859569
Germany,Chile,1365472828
Germany,Saudi Arabia,14096654
United Kingdom,India,19921976117
United Kingdom,Thailand,434207101
United Kingdom,Brazil,713312502
United Kingdom,Colombia,215435718
United Kingdom,Korea,3243556
United Kingdom,Poland,209349961
United Kingdom,South Africa,1862114265
United Kingdom,Chile,29636288
United Kingdom,Saudi Arabia,671150
France,India,4139074370
France,Thailand,1049660923
France,Brazil,3297628513
France,Colombia,1680107102
France,Korea,148847642
France,Poland,2005432347
France,South Africa,1901701859
France,Kuwait,21944819
France,Chile,423553789
France,Saudi Arabia,43705887
Netherlands,India,6977708986
Netherlands,Thailand,129993723
Netherlands,Brazil,87040487
Netherlands,Colombia,642223602
Netherlands,Korea,491792
Netherlands,Poland,14269465
Netherlands,South Africa,840526986
Netherlands,Kuwait,60454
Netherlands,Chile,127976174
Netherlands,Saudi Arabia,227521
Canada,India,3659444746
Canada,Thailand,836611055
Canada,Brazil,344019962
Canada,Colombia,671086359
Canada,Korea,3865408
Canada,Poland,1307586093
Canada,South Africa,370099631
Canada,Kuwait,1568
Canada,Chile,106773387
Canada,Saudi Arabia,16166
Sweden,India,3827796549
Sweden,Thailand,184052641
Sweden,Brazil,26653699
Sweden,Colombia,309592487
Sweden,Poland,94176270
Sweden,South Africa,1416545325
Sweden,Kuwait,11228374
Sweden,Chile,177465428
Norway,India,2147933250
Norway,Thailand,136378534
Norway,Brazil,1070847764
Norway,Colombia,299650983
Norway,Poland,2504790
Norway,South Africa,689555304
Norway,Chile,56575551
Norway,Saudi Arabia,195375
Italy,India,1237117872
Italy,Thailand,34627069
Italy,Brazil,1843859410
Italy,Colombia,306112843
Italy,Korea,7324360
Italy,Poland,57102621
Italy,South Africa,106916806
Italy,Kuwait,327910
Italy,Chile,169818458
Italy,Saudi Arabia,277701
Denmark,India,2004368952
Denmark,Thailand,489489466
Denmark,Brazil,3184580
Denmark,Colombia,3146117
Denmark,South Africa,411760384
Denmark,Chile,33407149
Switzerland,India,1839499003
Switzerland,Thailand,143029761
Switzerland,Brazil,95419283
Switzerland,Colombia,291509810
Switzerland,Korea,249214
Switzerland,Poland,3141751
Switzerland,South Africa,273016890
Switzerland,Chile,87963745
Australia,India,982075862
Australia,Thailand,1162746092
Australia,Brazil,10843457
Australia,Colombia,10565816
Australia,Korea,7599604
Australia,Poland,3046
Australia,South Africa,240893012
Australia,Chile,11512013
Australia,Saudi Arabia,7575
Belgium,India,561481858
Belgium,Thailand,53295601
Belgium,Brazil,212928735
Belgium,Colombia,102867692
Belgium,Korea,52608
Belgium,Poland,800330632
Belgium,South Africa,340304159
Belgium,Chile,59867040
Belgium,Saudi Arabia,9103
Spain,India,271820536
Spain,Thailand,7072193
Spain,Brazil,312007477
Spain,Colombia,1066811913
Spain,Korea,685941
Spain,Poland,88269401
Spain,South Africa,19495582
Spain,Kuwait,20232
Spain,Chile,211911806
Spain,Saudi Arabia,14214
Saudi Arabia,India,759651342
Saudi Arabia,Thailand,156480316
Saudi Arabia,Brazil,191647004
Saudi Arabia,Korea,134511154
Kuwait,India,893157410
Kuwait,Thailand,260887969
Korea,India,838979022
Korea,Thailand,105821945
Korea,Brazil,204472350
Korea,Colombia,85662550
Korea,South Africa,20345015
Korea,Chile,43598915
Korea,Saudi Arabia,167923
Austria,India,162421492
Austria,Thailand,73958508
Austria,Brazil,52226511
Austria,Colombia,20231447
Austria,Korea,111526265
Austria,Poland,33184327
Austria,South Africa,29251443
Austria,Kuwait,124190
Austria,Chile,6426788
Austria,Saudi Arabia,2145296
Finland,India,182512666
Finland,Thailand,126195858
Finland,Brazil,25810862
Finland,Colombia,23761728
Finland,Poland,12233233
Finland,South Africa,198796278
Finland,Chile,9423678
Finland,Saudi Arabia,38710
